Topic,Count,Name,theme1,theme2,Representation,Representative_Docs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,119,220_Thank you_I sympathize with this guy_I understand,,,"['Thank you', 'This guy', 'Sympathy', 'Bubble', 'Hug', 'Warm', 'Paper', 'lol', 'Nori', 'Ordinary person']","['Thank you', 'Thank you', 'Thank you']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,130,221_Korea_Kyoto_Birthplace_Seoul,Population Structure,State Intervention,"['Korea', 'Kyoto', 'Birthplace', 'Seoul', 'Osaka', 'Conglomerate', 'Comedy', '064', 'Low', 'Special']","['Korea', 'Korea', 'Country Korea']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,359,222_Yes_I'm surprised_I'm moved_I empathize,,,"['Yes', 'surprised', 'moved', 'sympathetic', 'surprised', 'impatient', 'beautiful', 'Gakki', 'really', 'first']","['I was surprised at first', 'I was surprised', 'I was surprised']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,148,223_My Melody_Black_Sponge_Buy,Childrearing Cost,Domestic Labor,"['My Melody', 'Kuro', 'Sponge', 'Buy', 'Chan', 'Face wash', 'Purchase', 'Melody', 'Sell', 'Bandage']","['Mei-san has a lot of My Melody in her household, and she's so cute, I love My Melody', 'I love My Melody', 'I love My Melody']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,142,224_29_Consideration_Left_Great,Utility,Reproduction,"['29', 'Consideration', 'Left', 'Great', 'Top', 'Ride', 'Index finger', 'Time', 'Sleepy', 'Reason']","['Married at 29', '29 mistake', '29 years old mistake']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,534,225_bad_bad_rude_bald,,,"['bad', 'bad', 'rude', 'bald', 'unfortunate', 'harassment', 'cunning', 'wife', 'angry', 'yes']","['Excuse me, sir', 'Excuse me, sir', 'Excuse me']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,137,226_Men and women_Brothers_Brothers and sisters_Continuous,Utility,Reproduction,"['male and female', 'brothers', 'brothers and sisters', 'consecutive', 'sume', 'gureyo', 'number', 'youngest', 'kaku', 'bata']","['Female, male, female, four brothers', 'female, male, male and female, four brothers', 'female, male, male and female, brothers']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,139,227_comedy_hurry_see_bruise,,,"['comedy', 'fast', 'look', 'bruise', 'drama', 'servant', 'comedy', 'comedy', 'next life', 'program', 'comedy']","['See it quickly', 'See it quickly', 'See it quickly']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,273,228_Great_Genius_Amazing_Praise,,,"['great', 'genius', 'great', 'praise', 'great', 'invention', 'confidence', 'Yamashita', 'intelligent', 'kind']","['Great', 'Great, isn't it?', 'Great!']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,272,229_Live your life to the fullest,Childrearing Cost,Economic Uncertainty,"['life', 'to the best of oneself', 'to live', 'to live', 'to choose', 'discipline', 'long life', 'important']","['Everyone is doing their best to live their lives', 'Even though we are doing our best to live our lives', 'We are doing our best to live our lives']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,317,230_sad_scary_pathetic_frightening,Childrearing Cost,Child Safety,"['sad', 'scary', 'pathetic', 'frightening', 'dislike', 'child', 'vomiting', 'die', 'abuse', 'anxious']","['Sad child \n Child couple sad', 'Child sad thinking result sad child sad modern era', 'Child sad thinking result sad child sad modern era']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,247,231_crying_mom_crying_mother,Values,Gender Equality,"['cry', 'mama', 'cry', 'mother', 'cry', 'cry', 'cry', 'mother', 'cha', 'older sister']","['Congratulations! I was so moved I cried! Mom, you do a great job every day!', 'Mom cried! I cried at that moment!', 'The crying is so cute! Mom, you've done your best!']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,126,232_twitter_sns_both_hands_useful,,,"['twitter', 'sns', 'both hands', 'useful', 'take', 'check', 'photograph', 'single', 'pray to God', 'go out']","['Twitter み', 'Twitter み', 'Twitter み']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,119,233_50_60028_201932_Weekly,Childrearing Cost,Expense,"['50', '60028', '201932', 'Weekly', 'Cost', 'Hospital', 'Shock', 'Birth', 'Manual', 'Delivery']","['First of all, I heard that it costs about 500,000 yen to give birth to a child, and I think that's impossible lol. I don't want it,' 'Prime Minister tax 50', 'Give me 500,000 yen every month']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,137,234_Pants_in_cute_cute,Utility, Emotional Support,"['pants', 'in', 'cute', 'adorable', 'land', 'cute', 'waist', 'kawaii', 'socks', 'chafing']","['Tucked in pants, so cute', 'Two cute boys tucked in pants, so cute', 'Tucked in pants, so cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,155,235_Nostalgic_Peace_Era_Kumamoto,Childrearing Cost,Economic Uncertainty,"['nostalgic', 'peace', 'era', 'Kumamoto', 'memories', 'democracy', 'different', 'dictionary', 'true identity', 'self-evident']","['peace', 'peace', 'peace']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,403,236_Marriage_Happiness_Single_Partner,Values,Individualism,"['marriage', 'happy', 'single', 'partner', 'newlywed', 'married', 'boyfriend', 'era', 'unmarried', 'fun']","['My husband, I want to pay for it properly, leave a notarized document and a will. I told him before we got married. He still hasn't done it. I'm a very sensible husband.', 'My husband, I want to pay for it properly, leave a notarized document and a will. I told him before we got married. He still hasn't done it. I'm a very sensible husband.', 'I think it's good to be alone when I get married.']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,110,237_The best_classmate_series_reunion,Utility,Socialization,"['best', 'classmate', 'series', 'reunion', 'kpop', '146', 'senpai', 'smile', 'top', 'ーー']","['best', 'best', 'best']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,104,238_Annual_Starbucks_Eeee_Shiga,,,"['year', 'Starbucks', 'eee', 'Shiga', 'build', 'memory', 'time', 'want', 'Starbucks', 'home']","['I want to wait 8 hours at Starbucks in the morning and line up at the Ichapachi shop and play for 8 hours lol', 'I remember putting my hands together and there were 8 people out lol', 'I remember putting my hands together and there were 8 people out lol']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,185,239_Too_cute_too_much,Utility, Emotional Support,"['cute', 'too', 'too much', 'too much', 'too cute', 'kidnapping', 'too much', 'beautiful', 'irresistible']","['Too cute', 'Too cute', 'Too cute']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,102,240_10_Early riser_children_11,Utility,Reproduction,"['10', 'Early bird', 'Stepchild', '11', 'Round off', 'Prank', 'Kawara', 'Kumamoto', 'Scattered', 'Baseball']","['10 w', '10', '10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,229,241_Thank you for your comment.,,,"['Comment', 'Thank you', 'Thank you', 'Good job', 'Message', 'Discussion', 'Feelings', 'Happy', 'Hope']","['Thank you for your comment, I want to think about it carefully', 'Thank you for your comment, I want to think about it carefully', 'Thank you for your comment, I want to think about it carefully']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,112,242_Hokkaido_Raccoon_Sapporo_Raccoon,,,"['Hokkaido', 'Tanuki', 'Sapporo', 'Tanuki', 'Midori', 'Safari', 'North', 'Governor', 'Suki', 'Water Source']","['Hokkaido', 'Hokkaido', 'Hokkaido']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,177,243_room_clean_clean_11,Utility,Reproduction,"['room', 'beautiful', 'pretty', '11', 'brothers', 'beautiful', 'respect', 'style', 'amazing', 'group']","['9 kids, amazing, the whole house is clean, the mother puts out fruit properly, it may be a way to have a large family with many kids, but it's a bit messy, what an image, I change the channel when I see them on TV, but I can watch the whole video', '9 kids, clean kitchen, clean room, kids help, mother herself is beautiful, I can only respect them', '9 kids, clean kitchen, clean room, kids help, mother herself is beautiful, I can only respect them']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,102,244_abuse_prime minister_neglect_national politics,Childrearing Cost,Child Safety,"['abuse', 'Prime Minister', 'neglect', 'national politics', 'san', 'adoption', 'care', 'Minister', 'Osaka', 'political party']","['At first I thought it would be a shame to give up a child for adoption, but I think neglect and abuse will happen, so it might be better that way', 'I don't think I want to give up a child for adoption, but I think it's hard to give up a child for abuse and neglect', 'I don't think I want to give up a child for adoption, but I think it's hard to give up a child for abuse and neglect']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,164,245_Hope_Complicated_Fate_Future,Population Structure,Old Age Care Demand,"['Hope', 'Complex', 'Destiny', 'Future', 'Infinite', 'Loop', 'Precious', 'Recognition', 'Lifespan', 'Dream']","['It's complicated, isn't it?', 'It's complicated, isn't it?']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,128,246_Healing_Healing_The best_Cure,Utility, Emotional Support,"['healed', 'healing', 'the best', 'cured', 'massage', 'saved', 'psycho psycho', 'helped', 'important', 'psycho']","['healed', 'healed', 'healed']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,98,247_Taro Yamamoto_Prime Minister_Rei,Population Structure,State Intervention,"['Yamamoto', 'Taro', 'Prime Minister', 'Rei', 'New Election', 'Support', 'Streaming', 'Live', 'Mr', 'Iwamoto']","['I support Taro Yamamoto', 'I want Taro Yamamoto to be prime minister', 'Taro Yamamoto said the same thing last time']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,157,248_Healing_Healing_Eyebrows_Yu,Utility, Emotional Support,"['soothing', 'healing', 'mayu', 'yuk', 'cute', 'adorable', 'cutely', 'live', 'cha', 'chan']","['Cute and soothing', 'Cute and soothing', 'Cute and soothing']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,210,249_Life_Unchanged_Living_Easy,Values,Individualism,"['life', 'unchanged', 'living', 'easy', 'ordinary', 'street', 'ideal', 'the best', 'exactly', 'peaceful']","['Nothing changes', 'Living alone is easy', 'In the end, my life doesn't change']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,340,250_Amazing_Center_Starbucks_Number_1,Values,Individualism,"['Amazing', 'Middle', 'Starbucks', 'One', 'Type', 'Processing', 'Batsu', 'One point', 'One', 'Fixed']","['Starbucks almost a day', 'Starbucks work', 'Starbucks a day']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,143,251_The best_Strongest_Perfect_Genes,Health,Assisted Reproduction,"['best', 'strongest', 'perfect', 'genes', 'ideal', 'solo', 's', 'invincible', 'justice', 'style']","['Awesome', 'Awesome', 'Awesome']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,179,252_smile_warm_nostalgic_laugh,Utility, Emotional Support,"['smile', 'heartwarming', 'nostalgic', 'laugh', 'natural', 'wonderful', 'smiling', 'protection', 'smiling', 'shining']","['cute smile', 'nice smile', 'nice smile']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,228,253_Will_Crown_Name_Legal Affairs Bureau,Population Structure,State Intervention,"['will', 'crown', 'name', 'legal affairs bureau', 'say', 'san', 'tattoo', 'writing', 'street', 'bracelet']","['Wills are important', 'What does a will mean', 'Wills are important']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,134,254_Mother_Single_Step_Family,Values,Family Diversity,"['mother', 'single', 'step', 'family', 'single father', '34', 'bobby ologun', 'pretty girl', 'ordinary', 'sir']","['single mother', 'single mother', 'single mother']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
